,Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
0,0,48,0,11148.0,27536.0,0.0,414404145,0.9440000000000002,414504146.0,0.0,9-10
1,1,98,0,11111.562247535358,27564.425744729244,60.0,414504146,0.944,414504146.0,142.04156767644875,9-10
2,2,148,0,11053.45880441606,27574.672202540736,120.0,414504146,0.944,414504146.0,169.99880156668078,9-10
3,3,198,0,10995.355361296764,27584.918660352232,180.0,414504146,0.944,414504146.0,169.9988015666767,9-10
4,4,248,0,10937.251918177468,27595.165118163724,240.0,414504146,0.944,414504146.0,169.99880156668047,9-10
5,5,298,0,10879.148475058171,27605.41157597522,300.0,414504146,0.944,414504146.0,169.99880156667697,9-10
6,6,348,0,10821.045031938876,27615.65803378672,360.0,414504146,0.944,414504146.0,169.9988015666732,9-10
7,7,398,0,10762.94158881958,27625.90449159821,420.0,414504146,0.944,414504146.0,169.99880156668394,9-10
8,8,448,0,10704.838145700283,27636.1509494097,480.0,414504146,0.944,414604387.0,169.99880156668047,9-10
9,9,498,0,10671.510892879973,27687.08714303978,540.0,414604387,2.144,414604387.0,123.19648852422213,9-10
10,10,548,0,10688.131547314926,27820.05237851941,600.0,414604387,2.144,438704457.0,82.8749836510984,9-10
11,11,598,0,10709.154958724925,27952.37021064728,660.0,438704457,2.144,391804458.0,80.97198492549255,9-10
12,12,648,0,10767.2117954093,28071.27099969869,720.0,391804458,2.144,391804458.0,63.9746841626155,9-10
13,13,698,0,10844.109499920458,28181.01043217815,780.0,391804458,2.144,391804458.0,54.97992114574362,9-10
14,14,748,0,10921.007204431617,28290.749864657617,840.0,391804458,2.144,441804459.0,54.979921145744505,9-10
15,15,798,0,10999.563600430398,28399.29573152368,900.0,441804459,2.144,441804459.0,54.10613362410175,9-10
16,16,848,0,11080.19378674074,28506.32270501896,960.0,441804459,2.144,388804418.0,53.00697407769741,9-10
17,17,898,0,11160.899266255075,28613.29271248513,1020.0,388804418,2.144,388804418.0,52.96660409714984,9-10
18,18,948,0,11241.968610327316,28719.987423936527,1080.0,388804418,2.144,388803889.0,52.771510363379164,9-10
19,19,998,0,11323.209462674376,28823.648050193464,1140.0,388803889,1.424,388803889.0,51.91350939534569,9-10
20,20,1048,0,11411.101365360018,28809.647570119643,1200.0,388803889,1.424,388803889.0,-9.050721677184729,9-10
21,21,1097,0,11498.99326804566,28795.647090045823,1260.0,388803889,1.424,388803889.0,-9.050721677184729,9-10
22,22,1147,0,11586.885170731304,28781.64660997201,1320.0,388803889,1.424,388903890.0,-9.050721677179919,9-10
23,23,1197,0,11674.353779652163,28765.77251695176,1380.0,388903890,1.424,388903890.0,-10.286272831947365,9-10
24,24,1247,0,11759.727992039336,28740.6280571391,1440.0,388903890,1.424,408004438.0,-16.410784596878596,9-10
25,25,1297,0,11841.73432803471,28712.405734314747,1500.0,408004438,0.944,408004438.0,-18.9908031456025,9-10
26,26,1347,0,11874.52467096386,28663.35684634989,1560.0,408004438,0.944,408004438.0,-56.236334852956674,9-10
27,27,1397,0,11907.31501389301,28614.30795838504,1620.0,408004438,0.944,408004438.0,-56.23633485294931,9-10
28,28,1446,0,11940.10535682216,28565.259070420187,1680.0,408004438,0.944,408004438.0,-56.236334852954705,9-10
29,29,1495,0,11972.89569975131,28516.21018245533,1740.0,408004438,0.944,408004438.0,-56.2363348529552,9-10
30,30,1545,0,12005.68604268046,28467.16129449048,1800.0,408004438,0.944,408004438.0,-56.23633485295078,9-10
31,31,1595,0,12038.47638560961,28418.112406525623,1860.0,408004438,0.944,408004438.0,-56.2363348529552,9-10
32,32,1645,0,12071.26672853876,28369.06351856077,1920.0,408004438,0.944,408004440.0,-56.23633485295274,9-10
33,33,1695,0,12110.358071550196,28325.144255145704,1980.0,408004440,0.944,408104082.0,-48.328589043814105,9-10
34,34,1745,0,12142.005699006328,28279.161917494726,2040.0,408104082,0.944,408104082.0,-55.46206765186723,9-10
35,35,1795,0,12187.330754502573,28241.391037914524,2100.0,408104082,0.944,408104082.0,-39.80557109226407,9-10
36,36,1845,0,12232.655809998818,28203.62015833432,2160.0,408104082,0.944,408104082.0,-39.80557109226407,9-10
37,37,1895,0,12277.980865495065,28165.849278754114,2220.0,408104082,0.944,408104082.0,-39.80557109226565,9-10
38,38,1945,0,12323.305920991308,28128.078399173908,2280.0,408104082,0.944,408104082.0,-39.80557109226791,9-10
39,39,1993,0,12368.630976487551,28090.307519593705,2340.0,408104082,0.944,397804082.0,-39.80557109226519,9-10
